,lat,long,class,text,time,scale
1502,43.473802,-80.326879,D,4,4,4.0
1503,43.499362,-97.239256,D,5,5,4.47213595499958
1504,43.50779374,-79.64405557,D,1,1,2.0
1505,43.510172,-116.374494,D,1,1,2.0
1506,43.523489,-116.637186,D,1,1,2.0
1507,43.554887,-79.220024,D,1,1,2.0
1508,43.589036,-79.047315,D,1,1,2.0
1509,43.590179,-116.713205,D,1,1,2.0
1510,43.59427,-72.331133,D,1,1,2.0
1511,43.595844,-70.349558,D,2,2,2.8284271247461903
1512,43.60222,-79.888911,D,3,3,3.4641016151377544
1513,43.605695,-85.52501,D,1,1,2.0
1514,43.619007,-116.314121,D,1,1,2.0
1515,43.640514,-70.346323,D,3,3,3.4641016151377544
1516,43.646884,-79.386766,D,1,1,2.0
1517,43.749761,-79.711527,D,2,2,2.8284271247461903
1518,43.829311,-79.485633,D,1,1,2.0
1519,43.866802,-69.841756,D,1,1,2.0
1520,43.868253,-70.020003,D,1,1,2.0
1521,43.889266,-80.145847,D,1,1,2.0
1522,43.914743,-70.001645,D,1,1,2.0
1523,43.92732,-81.407522,D,1,1,2.0
1524,43.95747,-79.499552,D,2,2,2.8284271247461903
1525,43.988281,-123.208615,D,4,4,4.0
1526,43.992857,-77.752464,D,1,1,2.0
1527,43.999225,-121.373464,D,2,2,2.8284271247461903
1528,44.016826,-79.509317,D,1,1,2.0
1529,44.063506,-79.530928,D,1,1,2.0
1530,44.088966,-82.374927,D,1,1,2.0
1531,44.119612,-94.06457,D,1,1,2.0
1532,44.162288,-79.922967,D,2,2,2.8284271247461903
1533,44.219636,-86.351075,D,1,1,2.0
1534,44.252035,-78.387994,D,1,1,2.0
1535,44.253728,-96.824461,D,1,1,2.0
1536,44.282958,11.584034,D,1,1,2.0
1537,44.284807,-74.157418,D,3,3,3.4641016151377544
1538,44.290196,-69.832494,D,2,2,2.8284271247461903
1539,44.325486,-72.763763,D,1,1,2.0
1540,44.341218,-100.371969,D,1,1,2.0
1541,44.35821,-116.050004,D,1,1,2.0
1542,44.379083,8.665852,D,1,1,2.0
1543,44.386368,-79.799258,D,2,2,2.8284271247461903
1544,44.408479,-73.233379,D,2,2,2.8284271247461903
1545,44.428299,-93.602168,D,1,1,2.0
1546,44.433944,-73.139974,D,1,1,2.0
1547,44.445714,-73.276995,D,3,3,3.4641016151377544
1548,44.47174,-88.139804,D,1,1,2.0
1549,44.493975,-89.60726,D,2,2,2.8284271247461903
1550,44.507051,-76.109996,D,2,2,2.8284271247461903
1551,44.588424,-60.812036,D,1,1,2.0
1552,44.624267,10.491045,D,1,1,2.0
1553,44.649273,-75.022155,D,1,1,2.0
1554,44.672679,-75.5321,D,1,1,2.0
1555,44.685054,-93.489043,D,3,3,3.4641016151377544
1556,44.716911,-93.329811,D,3,3,3.4641016151377544
1557,44.759861,-91.601375,D,2,2,2.8284271247461903
